# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
KP,21744120
PC,21832928
KP,101721385
PC,234345288
PC,234345288
KP,320798691
KP,27848472
KP,358516596
PC,39200363
PC,75878355
KP,76419763
PC,336128819
APC,23059280
APC,336267424
KP,308172249
PC,167415965
PC,167415965
KP,399860444
PC,287256467
PC,44313455
PC,103195323
PC,428988981
PC,88992642
FP,158916431
PC,341630071
FP,233569098
PC,1716467085
PC,231912935
FP,230267547
FP,23389848
PC,395393265
PC,406855039
PC,428787891
PC,461591646
FP,258402425
APC,298495970
PC,342642208
APC,270515566
CP,55652896
CP,55652896
PC,284477310
FP,366563452
PC,284564230
PC,43429656
FP,49967354
APC,73560357
PC,233680651
APC,160162987
FP,364075352
PC,8516795
FP,260043723
PC,154741689
FA,75656058
PC,76197937
FP,293567206
PC,159815224
KP,405717754
KP,123495874
KP,123233041
KP,164892194
CP,237913194
PC,32090583
PC,298663873
PC,233068569
KP,268823307
PC,1715469662
PC,176956893
PC,355096431
PC,238171173
PC,270472265
PC,260797169
PC,270342589
APC,260609205
PC,389421473
PC,262471759
PC,277890574
PC,401604346
PC,271478281
PC,24695044
PC,372172128
KP,389352124
KP,100566492
KP,369455629
CP,150098860
PC,142105158
PC,219306934
CP,358107516
APC,355600246
KP,467971286
PC,260298958
KP,381856447
PC,90850770
PC,38680052
PC,271806353
FP,316937670
PC,317089588
PC,212253390
PC,280803917
PC,406318573
PC,272236017
PC,425561347
PC,39018923
PC,234330672
PC,348995212
PC,278138619
FP,144440290
PC,150437346
CP,441420236
PC,306510653
PC,273695332
PC,388198242
PC,271891552
PC,403135192
PC,405425498
FP,61733521
PC,143410850
FA,326453034
FP,129432342
FA,100504381
PC,439444938
APC,421455387
APC,271491157
APC,267093376
PC,394722182
FP,389238529
PC,231077395
FP,388130235
